algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:09|fim:2016-05-13 15:40:09|duracao(nanosec):1065301
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:09|fim:2016-05-13 15:40:09|duracao(nanosec):1193740
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:09|fim:2016-05-13 15:40:09|duracao(nanosec):1089267
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:10|fim:2016-05-13 15:40:10|duracao(nanosec):1214687
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:10|fim:2016-05-13 15:40:10|duracao(nanosec):1118998
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:10|fim:2016-05-13 15:40:10|duracao(nanosec):1129970
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:10|fim:2016-05-13 15:40:10|duracao(nanosec):1153944
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:10|fim:2016-05-13 15:40:10|duracao(nanosec):1181198
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:11|fim:2016-05-13 15:40:11|duracao(nanosec):1155157
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:11|fim:2016-05-13 15:40:11|duracao(nanosec):1171935
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:11|fim:2016-05-13 15:40:11|duracao(nanosec):1164151
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:11|fim:2016-05-13 15:40:11|duracao(nanosec):1208085
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:12|fim:2016-05-13 15:40:12|duracao(nanosec):1084924
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:12|fim:2016-05-13 15:40:12|duracao(nanosec):1079618
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:12|fim:2016-05-13 15:40:12|duracao(nanosec):956560
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:12|fim:2016-05-13 15:40:12|duracao(nanosec):1222583
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:13|fim:2016-05-13 15:40:13|duracao(nanosec):1216255
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:13|fim:2016-05-13 15:40:13|duracao(nanosec):1171912
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:13|fim:2016-05-13 15:40:13|duracao(nanosec):1250692
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:13|fim:2016-05-13 15:40:13|duracao(nanosec):1202761
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:14|fim:2016-05-13 15:40:14|duracao(nanosec):1104473
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:14|fim:2016-05-13 15:40:14|duracao(nanosec):1039755
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:14|fim:2016-05-13 15:40:14|duracao(nanosec):1193497
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:14|fim:2016-05-13 15:40:14|duracao(nanosec):1170437
